Year,NRHeatSwchSm,NRTstatSm,ResHeatSwitch,ResERWHDLCSwch,ResERWHDLCGrd
2022.0,2.9003812209992255,2.3701918723994058,92.67733864165193,119.43740141859033,4.190786014687379
2023.0,5.844910700109846,4.776461706481437,187.2560469177226,226.57924485450917,18.66945088688839
2024.0,8.820258423946166,7.20791621375112,283.7041695626738,320.8124889453591,43.805721382097225
2025.0,11.82077174339139,9.659936048690307,382.01050722284117,401.5760583666115,79.96752677430358
2026.0,14.898639623833203,12.175170039906499,482.10123745481906,468.2194903309544,127.49638703847585
2027.0,15.059734065908176,12.306816436776794,486.578052975795,433.41011670783627,186.69974258183717
2028.0,15.185896148158044,12.409916105119908,491.0178658804515,397.66418560252436,257.9200480631062
2029.0,15.303094770664998,12.505690833114699,495.4728522054981,361.029094231595,341.50173441781055
2030.0,15.428565312549587,12.608225374590578,499.9792256835289,323.54534314403844,437.81880476512424
2031.0,15.551610248718173,12.708777710792162,504.510396905836,285.21418628599605,547.2402273454886
2032.0,15.681788836313356,12.81515966777237,508.9684977063372,245.95655292713974,609.0352739148226
2033.0,15.814620706419777,12.923709887530515,513.4441770690655,205.84371701931607,671.9496049825957
2034.0,15.955036648599883,13.038457811872652,517.96393513023,164.88932801285722,736.0277250429001
2035.0,16.120684670271924,13.17382539452127,522.5059560662514,123.08633332312648,801.2678953583936
2036.0,16.268993258701094,13.295023190299558,526.9788212408514,109.65673939156983,828.517586514083
2037.0,16.424352661370072,13.421982912297757,531.4330291144672,110.70284489574271,836.4214947678336
2038.0,16.581349876789574,13.550281055066877,535.8647224259278,111.74025441409374,844.259700017597
2039.0,16.753725429907064,13.691146377198104,540.24089969685,112.76233731393496,851.9821041497307
2040.0,16.917090965164064,13.824648711681888,544.6041671250946,113.777773515314,859.6542887823723
2041.0,17.059378697888878,13.940926263475687,548.9468433364943,114.78338658357674,867.2522541870242
