Year,NRCurtailCom,NRCurtailInd,ResTOU,NRHeatSwchMed,ResBYOT
2022.0,5.960145051574386,28.43380534692318,16.279696304200865,2.3718173125013076,7.619115678731345
2023.0,11.837525223058556,57.23482742472799,32.31011281235385,4.827003097752852,15.380644113802015
2024.0,17.672769003421283,86.65224012935118,48.890166621787515,7.343086440542351,23.298358082107598
2025.0,23.557478378702484,116.73254359585233,66.16001445980201,9.911838293778121,31.353612534863853
2026.0,29.496392899888363,146.88813472480945,80.59232902666125,12.572236014123499,39.542307137856355
2027.0,29.850784816483618,147.30206025469343,84.97290511824492,12.8015816571345,39.883605356227264
2028.0,29.446854594375903,147.44683445595948,85.16922866015713,13.009320442026493,40.223761403269734
2029.0,29.48426684337875,147.5351057233228,82.8265163647545,13.227853156974685,40.54481959629645
2030.0,29.7819432928503,147.78338689846632,81.42190335380302,13.459198849275243,40.872794945932164
2031.0,30.036641039898903,148.330093947103,83.83612991215716,13.665004177198671,41.1947185705825
2032.0,30.326798443509347,148.65938594853864,87.44257874218785,13.895339060734843,41.5147036420602
2033.0,30.246283498852122,148.64060937453522,84.34544351432581,14.13995046409544,41.837003579561554
2034.0,30.812724908054022,148.5260830590973,87.71806388042374,14.366397627423357,42.146795348889825
2035.0,31.026621659045826,148.66193323328443,90.57274325272749,14.63976510524153,42.46116948011732
2036.0,31.458699548512605,149.07395401068564,89.35587197616752,14.888748231540255,42.76555730569503
2037.0,31.405674384797024,149.79421995413435,86.3153342127498,15.161024073444718,43.06433404905586
2038.0,31.781547827788167,150.31695493949218,88.84733210419888,15.439988162282482,43.366984643185965
2039.0,32.15582260076595,150.52934973348962,86.78243693386749,15.750401199117647,43.6572198957924
2040.0,32.6231392462317,150.84776929092982,89.88411977597485,16.01714456267542,43.94392646903258
2041.0,33.23012222875856,151.11123441143775,90.225605899644,16.28654734710216,44.22975548266526
