,Year,NRCurtailCom,NRCurtailInd,ResTOU,NRCoolSwchMed,ResBYOT
0,2022.0,62.139595404386824,293.28804986685543,345.7853043709374,65.02236494886148,97.14081741820318
1,2023.0,117.44096868143384,561.7807776443265,653.0490815542189,125.47083287027606,186.63975615787405
2,2024.0,142.25032631124554,690.043159240804,801.7128212207266,154.51035667309853,229.42237539925577
3,2025.0,215.38159682312005,1055.89207445796,1232.3214955353096,236.4628022021336,350.7582984499005
4,2026.0,241.51253372422573,1189.8857691193273,1344.3523554186686,268.1691660940663,396.2284323856585
5,2027.0,212.48275188187068,1037.348156828201,1232.244919576756,236.96745762471545,347.4918733060299
6,2028.0,187.40705684112606,928.3896100235014,1104.277907796471,215.04555366485192,313.3872980853679
7,2029.0,169.83005559478457,840.7509773690601,971.946265761889,197.58452287458303,285.9379437340196
8,2030.0,173.88156605277743,853.6383467438861,968.4794329776025,203.4014281444438,292.21581574064095
9,2031.0,244.70304355424844,1195.5426347897035,1391.4508480777454,287.7162276458664,411.0058800696157
10,2032.0,198.07817830847551,960.6168335968172,1163.540933383732,234.12058383460908,332.10662519755783
11,2033.0,200.24795880982006,973.6017512776688,1137.643911486376,241.13856424971047,339.2851143067393
12,2034.0,196.28259661106267,936.0568070743402,1138.3855293798215,235.37991609255496,328.8933833062841
13,2035.0,173.64633155123818,823.1494437198783,1032.707392783685,210.35095504337116,291.1288485306031
14,2036.0,174.0854820605655,816.152564301222,1007.3804707412014,211.1750204093922,289.93096006721845
15,2037.0,232.7193637265667,1098.164102022643,1303.0497431835092,287.3107899141343,390.95722178906567
16,2038.0,253.56303331385976,1186.497024395066,1444.122141540549,314.459987377356,423.89776735796596
17,2039.0,248.49684847455455,1150.8805132373122,1366.28639499879,310.0801602501605,413.3387875271387
18,2040.0,172.1416953470514,787.4935551406035,966.2554067219928,214.95523112045316,284.0799456435362
19,2041.0,190.33650887421567,856.317271794827,1052.855109281296,236.8703848540658,310.3689284473212
