,Year,ResEVSEDLCSwch,ResHPWHDLCSwch,ResHPWHDLCGrd
0,2022.0,-1.8473197586765469,-2.3044071903659664,-0.12128458896662983
1,2023.0,-2.0284992164596654,-1.9301894745879757,-0.2385627440501991
2,2024.0,-3.8023840182209687,-2.734171447492333,-0.5600110193658998
3,2025.0,-3.3819061055571407,-1.8693313866313652,-0.558371712889888
4,2026.0,-5.594242597213232,-2.401176667370027,-0.9807623007567714
5,2027.0,2.34142437457664,0.7841009604453049,0.506649851364658
6,2028.0,-4.246822929681862,-1.1124782276148628,-1.0823093265270014
7,2029.0,5.075572701196602,1.0370981596575883,1.471505313325484
8,2030.0,-0.2209453319304142,-0.035001416598480994,-0.07104542858500418
9,2031.0,-1.3458131321758557,-0.16356401231630968,-0.4707452061786457
10,2032.0,0.9210369785229906,0.08447255804557163,0.3137552155978378
11,2033.0,-21.72279324927336,-1.4650443228223764,-7.173665304854401
12,2034.0,-3.9551589608811746,-0.1886432620163927,-1.2630896674141097
13,2035.0,3.1324625981737935,0.098831712193301,0.9650626014169417
14,2036.0,9.61176672945078,0.24015708659386453,2.721780314730465
15,2037.0,3.9223566073879166,0.08832204710305122,1.0009832005012451
16,2038.0,0.9692887449655103,0.01973125665040859,0.2236209087046297
17,2039.0,-24.965873325183765,-0.46079028707622366,-5.222289920197203
18,2040.0,-2.99562737152835,-0.0502708140486712,-0.5697358925516083
19,2041.0,-10.92276538501184,-0.16716481286229404,-1.8945345457726677
