,Year,NRHeatSwchSm,NRTstatSm,ResHeatSwitch,ResERWHDLCSwch,ResERWHDLCGrd
0,2022.0,31.704561368778613,25.90897125184749,877.8623452545149,1131.3401836649864,39.69614679526267
1,2023.0,60.027901573963064,49.054808174072335,1556.1197252230309,1882.9001148313291,155.14532781381735
2,2024.0,67.99586042102376,55.566225074092756,1703.7480951774724,1926.5972290514833,263.0695011556242
3,2025.0,80.79906024464346,66.02900146463712,2204.879751202308,2317.8077642342832,461.55479287782254
4,2026.0,83.41053582112457,68.16309961060865,2572.7064826895876,2498.627310013805,680.3773895812238
5,2027.0,79.82827552058086,65.23567607480098,2303.8552578733975,2052.1151130557523,883.9880487009394
6,2028.0,72.44494449345221,59.202017097480145,2311.2704128501114,1871.8452632781105,1214.0555718888538
7,2029.0,62.9508832130968,51.443469110809716,2140.7019195999555,1559.8345532208205,1475.4661434239706
8,2030.0,81.8432503465759,66.88231373783809,2483.5988991817835,1607.1804922881984,2174.8229640325403
9,2031.0,81.92506347828339,66.94917143862054,2536.7611702497975,1434.10379134317,2751.6137785121
10,2032.0,71.253141486044,58.22807554069166,1920.0904989123208,927.8744019499387,2297.5937572093735
11,2033.0,76.5550917911237,62.56082994896773,2429.6978801022997,974.0845552659455,3179.7702723623997
12,2034.0,61.459436502428034,50.22465868473543,1551.8915147373473,494.0312088515557,2205.2407583518757
13,2035.0,66.06291457546587,53.9866215034452,1723.3933744749108,405.97847522065365,2642.840270063868
14,2036.0,75.50696526825425,61.70430083211747,2199.663668549551,457.7184811398718,3458.3174130568086
15,2037.0,66.30708459684274,54.18615727341952,1841.402602242269,383.58268210449387,2898.1802647895083
16,2038.0,58.140096956308966,47.512094020137695,1678.706916435749,350.0494249370154,2644.8178773018935
17,2039.0,72.28735950127802,59.07323862347848,2062.1976477408884,430.43432456344465,3252.170452257137
18,2040.0,37.125878400833415,30.339272163342798,961.6348500261993,200.9031123435784,1517.9346265959257
19,2041.0,53.93376665073634,44.07468040336465,1459.3598244551526,305.1484217977291,2305.5658535828416
