,Year,DVR,ResTOU
0,2022.0,14896.70621118771,4132.44020288617
1,2023.0,28673.36901831784,7942.361523593466
2,2024.0,42981.03180071531,12082.377537009057
3,2025.0,51518.59852294907,10927.285794652884
4,2026.0,53917.81157338958,9027.969770468299
5,2027.0,51889.40438437945,8861.203954085206
6,2028.0,43513.07351118939,7474.987098640299
7,2029.0,45068.866562648276,7638.332444057282
8,2030.0,43756.2372358798,7325.908743647275
9,2031.0,42937.237151782916,7260.545505416047
10,2032.0,42642.90854004938,7322.927999375288
11,2033.0,45356.7826473459,7666.8326909242605
12,2034.0,42148.068798813016,7202.5083314571075
13,2035.0,41732.6718816314,7215.106305442192
14,2036.0,46697.40022177271,7978.7252538555485
15,2037.0,41971.1063064991,7057.602639677634
16,2038.0,43050.60945538772,7300.152346552197
17,2039.0,47301.26467327994,7894.563135954535
18,2040.0,37608.14790523916,6342.566836233879
19,2041.0,39348.43629429751,6597.723762260936
