,Year,NRCoolSwchSm,ResACSwch,ResEVSEDLCSwch,ResHPWHDLCSwch,ResHPWHDLCGrd
0,2022.0,-16.051763972149573,-5.851944234287053,-0.16757674756550145,-0.15678054389920798,-0.005501071715761698
1,2023.0,-28.14267665655521,-35.05552083375676,-1.2344089457520995,-0.8809381592662248,-0.07258666480845288
2,2024.0,-37.09525045648061,-111.36938620703208,-4.845325505052408,-2.6130877206714285,-0.35680715864589785
3,2025.0,-54.77685808075039,-97.33672650147503,-5.116785028292932,-2.1212076607441075,-0.4224049887196057
4,2026.0,-64.34477392295787,-80.62549937895841,-5.03838507189159,-1.6219424433628653,-0.4416556888030338
5,2027.0,-57.482725312435285,-99.0653740556868,-7.27161087876737,-1.826348889142626,-0.7867349060922085
6,2028.0,-52.86706916698613,-132.1180497659779,-11.263570371664665,-2.212914867978167,-1.435269078214088
7,2029.0,-49.42637914241344,-163.5748417418286,-16.072228363218073,-2.4630439910495583,-2.329822743734928
8,2030.0,-52.35412120064052,-182.4550920422196,-20.517954389797218,-2.4377890100845643,-3.2987953413059214
9,2031.0,-67.50268759144399,-175.43107021859123,-22.444946777480574,-2.045892626200999,-3.92545251856452
10,2032.0,-55.848484036156144,-142.64280458449667,-20.655061273705307,-1.4207783479898266,-3.5181178140700498
11,2033.0,-59.85491905752476,-253.69851273499265,-41.409113849817984,-2.0945575390314017,-6.837406219366881
12,2034.0,-58.83946841259569,-226.32641093019015,-41.440165922709134,-1.4823819008564125,-6.617009064692403
13,2035.0,-51.19759817184895,-171.42317608783475,-35.07869056041448,-0.8300706570940182,-5.403597218729699
14,2036.0,-45.41610745323729,-125.27887185005703,-28.569953876043346,-0.5353810397287683,-4.045101189061805
15,2037.0,-67.21666684562628,-243.24509176368116,-61.56540283523971,-1.0397287179773116,-7.855728091384129
16,2038.0,-72.1548814018448,-189.5688788570444,-53.082478992089946,-0.8104272504501048,-6.123228114511903
17,2039.0,-68.00501055690619,-174.84942036705075,-54.00788556456962,-0.7476098102857385,-5.648607455492247
18,2040.0,-46.557094685854636,-50.74812323457148,-17.241835943108015,-0.21700657851967692,-1.6396052599264481
19,2041.0,-53.847925699844865,-136.1670516120912,-50.73024469284608,-0.5822915416759732,-4.399536092662908
