,Year,NRTstatSm,ResERWHDLCSwch,ResERWHDLCGrd
0,2022.0,34.95937974635946,666.3395090363443,35.070500475597086
1,2023.0,67.01743397343552,1206.4107955904815,149.10695226399207
2,2024.0,82.0464823176565,1332.636412000605,272.94962655434085
3,2025.0,124.88262509347221,1874.5176848190629,559.9208668940057
4,2026.0,140.96256326101096,1977.813630330483,807.8393701349859
5,2027.0,123.89292539539984,1686.0660948856503,1089.4580920799588
6,2028.0,111.73295082271957,1232.092969255536,1198.6802785638602
7,2029.0,101.92586692181595,1215.0628738962687,1724.0137380565923
8,2030.0,104.1823118225736,1106.0743648059,2245.0956255847414
9,2031.0,146.57551198756687,1271.0706425706442,3658.2033127642944
10,2032.0,118.52387791507945,888.7125500361237,3300.932328705605
11,2033.0,121.18790292286982,807.9575877091229,3956.2061191274324
12,2034.0,117.66541240154147,611.0840362779894,4091.606155948283
13,2035.0,104.46076855185768,414.091915713989,4043.485765207195
14,2036.0,104.24645248211189,317.9223669358232,3603.120158605995
15,2037.0,140.92449599719214,489.5724007154532,5548.487208108469
16,2038.0,153.19138452713634,496.6623931780075,5628.840456017419
17,2039.0,149.93330119987573,468.74426712121493,5312.435027373768
18,2040.0,103.38345287052465,271.33971227118604,3075.1834057401074
19,2041.0,113.16460297747072,393.0442750050073,4454.501783390082
