Year,NRIrrLg,NRIrrSmMed,DVR,IndRTP,ResCPP,ComCPP,IndCPP
2022.0,55.8982463338012,65.8800760362657,50.46461498376833,4.544811040279007,45.363962704933385,24.044730658596464,20.45164968125553
2023.0,113.22946820173996,133.4490160949078,100.30545152422536,9.148317377663812,90.03329823994277,47.75556688466823,41.16742819948715
2024.0,177.92895807285188,209.7019863001469,151.06635419993964,13.85034654348149,136.23421799929068,71.2964142653892,62.32655944566669
2025.0,242.20251779473176,285.45296740093386,203.20312805853473,18.658331040157048,184.35727377407227,95.03681835092021,83.96248968070671
2026.0,306.47042152281847,361.19728250903603,250.8470010272654,23.4783493886281,224.57344043486717,118.99589968714051,105.65257224882644
2027.0,309.7952573583231,365.1158390294522,311.18647404198396,23.544510540648275,236.78007419089408,120.4256061973648,105.95029743291722
2028.0,314.36149431686226,370.4974754448733,361.7371469366038,23.56765100251167,237.3271368428619,118.79604964942781,106.05442951130254
2029.0,318.3229775662551,375.16636641737205,407.5120960321988,23.581760131611954,230.79908427903047,118.9469801121635,106.11792059225378
2030.0,324.3476387156469,382.2668599148696,456.21048833617425,23.62144497196724,226.885079309096,120.14788210179881,106.29650237385256
2031.0,329.1571894986158,387.93525905194,516.7721588276632,23.7088296958945,233.61240895382502,121.17539714952693,106.68973363152523
2032.0,333.5120063374671,393.067721754872,530.7476176964303,23.76146316880959,243.66190908980403,122.34596540886278,106.92658425964314
2033.0,338.6246136225635,399.0932946265927,520.1048728702444,23.75846195318657,235.03162973179084,122.02114778420392,106.91307878933952
2034.0,344.00046000916853,405.4291135822344,535.0396781460407,23.740156261899237,244.42955839376998,124.30631551087491,106.83070317854651
2035.0,351.4331519697791,414.18907196438244,546.0520226937653,23.761870322466798,252.38422573890426,125.16922903426108,106.92841645110056
2036.0,357.77144560031354,421.65920374322667,545.1114839202835,23.827727022092827,248.9933699038156,126.91234038236811,107.22477159941772
2037.0,363.9691682245007,428.96366255030443,535.0374878551548,23.942853104296137,240.5208014280123,126.69842347789073,107.7428389693326
2038.0,370.678781494443,436.8714210470221,546.1284657939567,24.026406174439508,247.57630515304348,128.21479189178598,108.11882778497773
2039.0,377.63572016706223,445.07067019689475,541.9753485836213,24.060354996726208,241.82240005885942,129.72471086702652,108.27159748526793
2040.0,385.61378784805294,454.47339282091957,555.524101279381,24.111250636702568,250.46535150848712,131.60998425807165,108.50062786516156
2041.0,393.7095505933204,464.01482748498466,560.8751503916956,24.1533624530354,251.4169149460914,134.05870693225467,108.69013103865927
