Report_Hour,Baseline,ECR
1,0.8706926549790235,0.6231640892972226
2,0.8778116107690059,0.6423360115573385
3,0.8894467773303489,0.6613871374789753
4,0.9055462376939327,0.6784573150428377
5,0.9034318170457342,0.652985777826321
6,0.9026804920531418,0.6360877568050145
7,0.7242155211722384,0.5735941246912238
8,0.6251279722088119,0.472855532657304
9,0.505465869867438,0.36361796696110676
10,0.4857144429696574,0.35093447341108835
11,0.49187545942761873,0.3201495653545248
12,0.5081723858386892,0.32681503180517163
13,0.5113293498963546,0.32915356213622815
14,0.5156833534290632,0.3212747833395107
15,0.5214202994847826,0.33001528188306795
16,0.5299915517405854,0.3200871835085057
17,0.5465477886831536,0.3377332955426095
18,0.5434536550386148,0.36105513360388214
19,0.5684288892983191,0.41070037527237696
20,0.6626560899932643,0.4778723931713084
21,0.7475962399833124,0.5365996841709225
22,0.8120979145637849,0.2610062643590402
23,0.7969108488713462,0.49469822271978137
24,0.821903008252148,0.4662882990525512
