,Year,DVR,ResTOU_shift,ResTOU_shed
0,2022.0,13875.13664747857,862.7714048166031,3849.0503665513393
1,2023.0,25591.02606957427,1596.2461718018362,7088.569908698789
2,2024.0,0.0,0.0,0.0
3,2025.0,39205.92703683097,198.24792349024045,8315.722513005132
4,2026.0,36413.424195023654,-134.94672679125875,6097.0444326074485
5,2027.0,43078.88851942519,424.90220385184784,7356.623607744489
6,2028.0,0.0,0.0,0.0
7,2029.0,34091.33471787094,-819.7893891171917,5777.84550394135
8,2030.0,28650.939001334074,-1077.3091984283765,4796.897032349627
9,2031.0,29368.42466744543,-979.2856812049451,4966.103966275261
10,2032.0,0.0,0.0,0.0
11,2033.0,28732.199495628443,-856.4659676886088,4856.714994270695
12,2034.0,24696.22384013595,-612.5828132178266,4220.235067309138
13,2035.0,26814.50874151719,-771.0613464704214,4635.92486114964
14,2036.0,0.0,0.0,0.0
15,2037.0,24081.55295440019,-609.1361638797016,4049.40557099859
16,2038.0,22805.604358341705,-365.9882604382555,3867.1783809149747
17,2039.0,24235.06119166898,-551.567456795154,4044.8225222491824
18,2040.0,0.0,0.0,0.0
19,2041.0,20473.25041249283,-544.5973706607743,3432.83910259982
