,Year,NRCurtailCom,NRCurtailInd,ResTOU,NRHeatSwchMed,ResBYOT
0,2022.0,13.021896385566597,62.12299597930045,35.56834886187824,5.18201470293522,16.646463141342092
1,2023.0,23.018378122749105,111.29462236636986,62.82786138902763,9.386234065826821,29.908065690393904
2,2024.0,10.784133024462134,52.8762235415206,29.833358900091273,4.4808383434199115,14.216934129584379
3,2025.0,9.460185810194522,46.877324251808176,26.568464584084083,3.980384932222411,12.590948641974016
4,2026.0,-1.4543919866754713,-7.242679700075371,-3.9738024212557974,-0.6199049278870703,-1.9497304240267361
5,2027.0,-3.2850465568134624,-16.21043228263818,-9.351176228605748,-1.4088002041847085,-4.389147597098759
6,2028.0,-40.37717924345583,-202.1773580138335,-116.78304046418728,-17.838226546056354,-55.15434658124796
7,2029.0,-26.397585009979636,-132.08978591788681,-74.15548158051212,-11.843040902649491,-36.300218272101155
8,2030.0,-21.279535262523364,-105.592901101118,-58.17687068039537,-9.61674977694365,-29.204074186074028
9,2031.0,-27.593064819497513,-136.26296933561332,-77.01579426970949,-12.553312653012169,-37.843397276983495
10,2032.0,-32.7156431321331,-160.36929938363917,-94.33043867164722,-14.989876190122029,-44.784820646987576
11,2033.0,-24.268184738457347,-119.26218201568453,-67.67478738769543,-11.34522626782649,-33.56802933526804
12,2034.0,-4.418302044115107,-21.297470390646595,-12.578079417033049,-2.060028257585997,-6.043518468378828
13,2035.0,-13.895780516362226,-66.58068087620939,-40.56448603510108,-6.556658502786896,-19.01692997863804
14,2036.0,-16.683615264862617,-79.05897352466033,-47.38844933522317,-7.896008126062718,-22.680025395690087
15,2037.0,-9.256814077631354,-44.151806040836895,-25.441421542688545,-4.4687077677373015,-12.693200877803603
16,2038.0,2.806031784627062,13.271668063937852,7.844439774129448,1.3632154661689886,3.8289241912193717
17,2039.0,-14.368461149839636,-67.26231639008816,-38.777738298101596,-7.037886436110599,-19.507728841860086
18,2040.0,1.282555298702543,5.930471753232318,3.5337296394983575,0.6297025394733247,1.7276239209616566
19,2041.0,-10.308316180875927,-46.876215864396244,-27.988885109177048,-5.052249835043937,-13.720512400750717
