,Year,DVR,ResTOU_shift,ResTOU_shed
0,2022.0,14896.70621118771,386.830703401077,4132.44020288617
1,2023.0,28673.36901831784,1275.099529519413,7942.361523593466
2,2024.0,0.0,0.0,0.0
3,2025.0,51518.59852294907,1743.7897682707926,10927.285794652884
4,2026.0,53917.81157338958,1301.5776192018823,9027.969770468299
5,2027.0,51889.40438437945,420.5380797883588,8861.203954085206
6,2028.0,0.0,0.0,0.0
7,2029.0,45068.866562648276,25.613386499419136,7638.332444057282
8,2030.0,43756.2372358798,104.06287452511208,7325.908743647275
9,2031.0,42937.237151782916,-36.48209298458757,7260.545505416047
10,2032.0,0.0,0.0,0.0
11,2033.0,45356.7826473459,-186.93088094534372,7666.8326909242605
12,2034.0,42148.068798813016,29.2483445811732,7202.5083314571075
13,2035.0,41732.6718816314,75.97203406970058,7215.106305442192
14,2036.0,0.0,0.0,0.0
15,2037.0,41971.1063064991,332.690077386549,7057.602639677634
16,2038.0,43050.60945538772,327.94120193108415,7300.152346552197
17,2039.0,47301.26467327994,472.0140274875635,7894.563135954535
18,2040.0,0.0,0.0,0.0
19,2041.0,39348.43629429751,761.9814593804688,6597.723762260936
