,oldbins_bin1,oldbins_bin2,oldbins_bin3,oldbins_bin4,newbins_bin1_shed,newbins_bin1_shift
Winter,53873.61474426978,-1972.2157596420984,-2554.646982306327,-99.97418202855303,666191.5465164939,554355.6554503668
Summer,178212.00151650986,-3655.204304604155,-4898.807646176841,-1697.8784654389485,1242120.6974465484,821721.803671855
Fall,,,,,1002513.2228201609,856974.7133521488
