,Year,NRHeatSwchSm,NRTstatSm,ResHeatSwitch,ResERWHDLCSwch,ResERWHDLCGrd
0,2022.0,6.336836337316726,5.1784633946357115,146.98736457300575,189.42914334051318,6.646636608439058
1,2023.0,11.365582083555502,9.28795500553227,151.43526845495546,183.2362123180988,15.09811487265231
2,2024.0,5.382226188525075,4.398355869599245,24.92772199035801,28.1882516841124,3.848998221927001
3,2025.0,4.746972291120874,3.879226310479159,117.23293496440846,123.23729071225313,24.540759189452956
4,2026.0,-0.7346139629619106,-0.6003266162934224,195.60193056584058,189.96971822929981,51.72884346149945
5,2027.0,-1.6573074324136243,-1.3543518272472417,-166.76849970036858,-148.54585914075952,-63.988985476019494
6,2028.0,-20.822721448279633,-17.016330398438456,-257.82450808694637,-208.8061965992282,-135.42910378300235
7,2029.0,-13.70102730619948,-11.196481114123522,-213.25214361091375,-155.38737976881572,-146.98277935364723
8,2030.0,-11.02388438491726,-9.008719606314333,-245.33412739378753,-158.76002512714248,-214.83271485289907
9,2031.0,-14.286437324014667,-11.674878249024536,-9.453467126435385,-5.344315896330215,-10.25413456531669
10,2032.0,-16.917044778002253,-13.824610967527866,-350.967426054206,-169.6033029372468,-419.97008346365885
11,2033.0,-12.688902320398917,-10.369372457568918,137.99849703660442,55.32465814540291,180.60003348614288
12,2034.0,-2.287826579726291,-1.869612148039777,-14.115090162985013,-4.493416575867059,-20.057569643000647
13,2035.0,-7.2199125774389215,-5.900113401156431,-95.62643917569744,-22.52664803191474,-146.644061697955
14,2036.0,-8.627998873769265,-7.050801686901622,-17.679292449817012,-3.6788073574419684,-27.795433367339456
15,2037.0,-4.84107352922665,-3.956125853244857,31.70299500017967,6.604052714005206,49.89728717248346
16,2038.0,1.4639876899139588,1.196370911107815,201.66385097899823,42.05160196496048,317.72321484636797
17,2039.0,-7.4862103807279325,-6.11773199709258,-123.74198145411202,-25.828172321742173,-195.14619087538517
18,2040.0,0.6650832861987799,0.5435061391253759,-76.17546204301897,-15.91444757668225,-120.24249280159927
19,2041.0,-5.291989847541035,-4.3246147212126385,-308.9861533371409,-64.60821756785123,-488.1509771793203
