,Year,NRTstatSm,ResERWHDLCSwch,ResERWHDLCGrd
0,2022.0,-4.232259609134568,-92.98836955108828,-4.894124713215173
1,2023.0,-0.7705637280928332,-87.49173308262102,-10.813584987739679
2,2024.0,-4.636821130299572,-123.0750444484593,-25.20814163402175
3,2025.0,-3.167480126115466,-198.62995003064796,-59.33102403512859
4,2026.0,-5.690697078838356,-130.90072295757693,-53.46649247563005
5,2027.0,-13.058862539000964,-281.858863373227,-182.12418864116205
6,2028.0,-23.125115410751313,-394.7448776250931,-384.0399317911922
7,2029.0,-17.744786391606986,-232.59911691942816,-330.0274262705848
8,2030.0,-21.92495969697834,-259.9805347569587,-527.7051705492312
9,2031.0,1.7134097482370798,-45.169913234979674,-130.00121370067342
10,2032.0,7.5060519109268755,86.03953326550076,319.57540927186034
11,2033.0,-7.683177336848486,27.786357309109263,136.0573357894316
12,2034.0,-11.342596492441643,-20.274322701991302,-135.74981287420303
13,2035.0,-13.021336747512116,-51.28723045185869,-500.80472088285654
14,2036.0,-5.256489514636466,-11.653388191102316,-132.07173283249278
15,2037.0,-5.055449323885885,2.580916304267781,29.250384781701314
16,2038.0,-10.362279027501419,1.3246047716717229,15.012187412279559
17,2039.0,-3.577657073197418,-14.756237109939327,-167.23735391264563
18,2040.0,-1.0370620877657588,-18.677652313874184,-211.6800595572409
19,2041.0,-8.95025113277828,-44.25186946115498,-501.52118722642336
