,DVR,ResTOU_shift,ResTOU_shed
Winter,561455.5035584634,-6528.128880424804,104736.04295803043
Summer,877357.9464355344,-54521.66450564094,364762.7510110141
Fall,847216.6531768884,10497.278860008406,155296.56964327258
