,Year,NRCoolSwchSm,ResACSwch,ResEVSEDLCSwch,ResHPWHDLCSwch,ResHPWHDLCGrd
0,2022.0,-2.790520219665691,-37.65399070771541,-1.0782627180023536,-1.0087951810174016,-0.03539632214096147
1,2023.0,-0.5080675247669246,-37.770469807326016,-1.3300103580411216,-0.9491642787017329,-0.07820829262710904
2,2024.0,-3.057265932162408,-56.905756914546686,-2.4757873303692124,-1.3351939854682082,-0.1823156446020847
3,2025.0,-2.0884629379155406,-98.880954277216,-5.197961803464899,-2.1548601977213595,-0.42910635971940514
4,2026.0,-3.752134020374557,-70.59165925856703,-4.41135825449838,-1.4200917722161752,-0.3866916562842164
5,2027.0,-8.610298830030576,-165.86097010938994,-12.174550857016788,-3.0577787789013438,-1.31719701244981
6,2028.0,-15.24743472648169,-255.67503071638004,-21.79727679792819,-4.2824358809809615,-2.77753468438765
7,2029.0,-11.699940408323254,-167.58176794812636,-16.465933362938173,-2.523378669719629,-2.3868940372693856
8,2030.0,-14.456117771632686,-211.09360284825368,-23.738492944971963,-2.820429177189264,-3.8165807589199403
9,2031.0,1.1297285584060797,-42.01915341225455,-5.376001302378736,-0.4900310761270712,-0.9402222273657639
10,2032.0,4.949079584365296,93.71216061248525,13.569772588112526,0.9334099194796321,2.311300752997188
11,2033.0,-5.065866390492291,36.511662485719086,5.959497248990889,0.30144354059307277,0.9840225922808359
12,2034.0,-7.478686984927145,-33.58117233380361,-6.148682991403739,-0.21994835632561316,-0.9817984601201282
13,2035.0,-8.585556378106658,-114.90477826516238,-23.513210130999976,-0.5563955059900118,-3.6220256468369487
14,2036.0,-3.4658413305731006,-29.582946410809768,-6.746416231189205,-0.12642314201724292,-0.9551970730191686
15,2037.0,-3.333286438135948,6.550468059980261,1.6579253540040568,0.02799937178083467,0.2115508090107534
16,2038.0,-6.8323193325972165,3.3613496247793364,0.9412345102118422,0.014370129478191829,0.10857431161300735
17,2039.0,-2.358911154750464,-37.440289347449436,-11.564641497447411,-0.1600847606891148,-1.2095293029844223
18,2040.0,-0.6837819491774577,-47.38531139636743,-16.099309947538636,-0.2026266912509198,-1.5309572227847266
19,2041.0,-5.901305464153869,-112.26323193681571,-41.82466432767119,-0.48007157108931,-3.627207426008117
