,Year,NRCurtailCom,NRCurtailInd,ResTOU,NRCoolSwchMed,ResBYOT
0,2022.0,-7.52275645809584,-35.506098114415146,-41.86153151855677,-7.871750896613987,-11.76008158440483
1,2023.0,-1.3503314778341107,-6.459332515835975,-7.508731759402863,-1.442658529447077,-2.145976319719372
2,2024.0,0.0,0.0,0.0,0.0,0.0
3,2025.0,-5.462865045939113,-26.78128489583807,-31.256180298671637,-5.9975615181072985,-8.896513334649715
4,2026.0,-9.749926777526483,-48.036012639332995,-54.27187080689603,-10.826062287901937,-15.995849753062998
5,2027.0,-22.396622243589576,-109.3410857954321,-129.88406696975633,-24.97741856899115,-36.62718103104759
6,2028.0,0.0,0.0,0.0,0.0,0.0
7,2029.0,-29.56656784401767,-146.37056276786552,-169.2110098341807,-34.39848253031267,-49.78037357982484
8,2030.0,-36.5930287115071,-179.64648720820244,-203.81456471755453,-42.80542480156878,-61.49623550151445
9,2031.0,2.8604817719121876,13.975420430770683,16.265509940646794,3.3632888774507066,4.80449613953094
10,2032.0,0.0,0.0,0.0,0.0,0.0
11,2033.0,-12.695496347164134,-61.725260773704875,-72.12535003348326,-15.287914941994789,-21.510296309283234
12,2034.0,-18.92105969297406,-90.23309772981715,-109.73698599318148,-22.689925239472032,-31.704345905375387
13,2035.0,-21.645517158686474,-102.60795750208183,-128.72996158750257,-26.220854572985154,-36.29005248750888
14,2036.0,0.0,0.0,0.0,0.0,0.0
15,2037.0,-8.348448874566605,-39.39494640588773,-46.74490333673429,-10.306832239055645,-14.024988406566422
16,2038.0,-17.15168846060282,-80.25786352171735,-97.68432230459577,-21.270922919372936,-28.67358995453187
17,2039.0,-5.929546675071771,-27.461916569819053,-32.6018579325783,-7.3990265651410425,-9.862948557718653
18,2040.0,0.0,0.0,0.0,0.0,0.0
19,2041.0,-15.053819916636503,-67.72660735110856,-83.27089378268171,-18.73420994357926,-24.547250468133143
