Year,NRCoolSwchSm,ResACSwch,ResEVSEDLCSwch,ResHPWHDLCSwch,ResHPWHDLCGrd
2022.0,2.5740244050764507,32.24270465134845,0.923304693597495,0.8638203936397889,0.030309487496132957
2023.0,5.185487853003416,65.21000499298519,2.296237842182235,1.6387142566412538,0.13502514474197597
2024.0,7.824774468533344,98.8885959396397,4.3023262710134595,2.3202478218201295,0.3168209877184113
2025.0,10.485345888048782,133.2737043936784,7.005915647845192,2.9043631617438073,0.5783580322087234
2026.0,13.215803029273287,168.33312031120715,10.519340494184405,3.3863558620972554,0.9221062910875156
2027.0,13.36100457535233,170.0279389291303,12.480415303499118,3.1346001602121003,1.3502892997836742
2028.0,13.477047948729961,171.71057161513974,14.638984683559421,2.876070889550949,1.8653838311889765
2029.0,13.583782801116099,173.40820748687287,17.038416672804455,2.611110846271405,2.4698809514416316
2030.0,13.697900686499953,175.13709179009092,19.695009994455518,2.3400129469955324,3.1664856048705503
2031.0,13.811280534452077,176.87966451707115,22.630282373341846,2.0627862607773833,3.957866321491566
2032.0,13.93016682929164,178.5932513950795,25.860782542665678,1.778858915585365,4.404793505259002
2033.0,14.05153354301635,180.32101718136428,29.432311011526814,1.4887463939434533,4.8598158147119666
2034.0,14.17939388468827,182.07519667100814,33.33780767982832,1.1925474142884092,5.323255124649719
2035.0,14.327902822509106,183.84313487469205,37.620213247137045,0.8902109694284767,5.79509885980892
2036.0,14.461056718287999,185.58090241267342,42.32188352199123,0.7930826245499506,5.992179829932961
2037.0,14.598983795532844,187.31214399562893,47.408757633748706,0.8006484896614694,6.049344144108879
2038.0,14.739541720453287,189.0365439715446,52.93341625802372,0.8081514618281778,6.106033267146231
2039.0,14.893520777091119,190.73762979337974,58.91547173055038,0.8155435855882975,6.161884868889358
2040.0,15.040117889694153,192.43657741016588,65.38093796735659,0.822887637692355,6.21737326256446
2041.0,15.166346608118948,194.1304643537791,72.32502901699424,0.8301606448589429,6.272324872267569
