Year,NRTstatSm,ResERWHDLCSwch,ResERWHDLCGrd
2022.0,3.9039099038805056,79.62493427906018,4.190786014687379
2023.0,7.864601961763777,151.0528299030061,18.66945088688839
2024.0,11.867492197468644,213.8749926302394,43.805721382097225
2025.0,15.902664161706197,267.7173722444077,79.96752677430358
2026.0,20.043828734476048,312.14632688730296,127.49638703847585
2027.0,20.264049550051375,288.9400778052242,186.69974258183717
2028.0,20.440047444133185,265.1094570683496,257.9200480631062
2029.0,20.60192751275168,240.6860628210633,341.50173441781055
2030.0,20.77500510365615,215.6968954293589,437.81880476512424
2031.0,20.94696334556241,190.1427908573307,547.2402273454886
2032.0,21.12727297391889,163.97103528475984,609.0352739148226
2033.0,21.311344544793236,137.22914467954408,671.9496049825957
2034.0,21.505264716327787,109.92621867523816,736.0277250429001
2035.0,21.730501707876954,82.05755554875098,801.2678953583936
2036.0,21.93245038072026,73.10449292771322,828.517586514083
2037.0,22.141638328514194,73.80189659716181,836.4214947678336
2038.0,22.354816367573818,74.49350294272915,844.259700017597
2039.0,22.5883496483823,75.17489154262331,851.9821041497307
2040.0,22.81068705848711,75.85184901020934,859.6542887823723
2041.0,23.002132618614997,76.5222577223845,867.2522541870242
