Report_Hour,Baseline Emissions Rate Estimate
1,0.9395736557961666
2,0.9604939348644951
3,0.9629725029859221
4,0.983893114323759
5,0.9825205457169419
6,1.0124329548245006
7,0.6407787517238261
8,0.7116475132306357
9,0.5465071931984734
10,0.5197141818819788
11,0.535553667383291
12,0.5500590021067244
13,0.5695746637538562
14,0.5688360316136785
15,0.5731416124094603
16,0.5726299180909681
17,0.5810781346692565
18,0.5816269775879701
19,0.6046590613180881
20,0.639461570097855
21,0.7870673835200479
22,0.8170515664300667
23,0.7970603102475079
24,0.8417347833394878
