,Year,NRCoolSwchSm,ResACSwch,ResEVSEDLCSwch,ResHPWHDLCSwch,ResHPWHDLCGrd
0,2022.0,23.05030056252523,269.82236383501055,7.726654995613628,7.228861941364135,0.2536442786443557
1,2023.0,44.18762595974676,520.8115204101906,18.339319586603196,13.08788833264153,1.0784027839629726
2,2024.0,54.09695741861197,616.1662102713104,26.80741948625872,14.457261665782134,1.974083922235312
3,2025.0,82.3407641762138,933.1628863412943,49.054391465665304,20.335923904316225,4.049577920340026
4,2026.0,92.94299483584635,1066.5880425617436,66.65237812968672,21.456542026277226,5.8426264672491985
5,2027.0,81.68821039314551,992.1723050304768,72.82757467625144,18.291484834165125,7.879408851640364
6,2028.0,73.6705890632896,798.0227879208335,68.03450282425386,13.366504391364067,8.669348610896016
7,2029.0,67.20433499362834,875.4220019081259,86.01556436814218,13.181751414044072,12.468776180328485
8,2030.0,68.69211119396714,898.087323742308,100.99424762744248,11.999376851640012,16.23745463328308
9,2031.0,96.64386585037373,1182.4090086280844,151.2794012759688,13.789358229939534,26.45763042492465
10,2032.0,78.148154503889,967.9640284695791,140.16379148615528,9.64130183284449,23.873699776567328
11,2033.0,79.90466670694221,1061.6675808577547,173.2872347277889,8.765222198025612,28.612909244129604
12,2034.0,77.58212935546877,1012.1629528305737,185.32614259966226,6.6294164955243495,29.59217798002178
13,2035.0,68.87571031243614,927.738529402065,189.84511625892426,4.492324481945358,29.24415152952671
14,2036.0,68.73440203240202,807.0683126338558,184.05261897922247,3.4490179067641367,26.059246406662368
15,2037.0,92.9178953667201,1242.5541923352864,314.49082421797823,5.311183333841877,40.12894074458306
16,2038.0,101.0060099051839,1260.3426959152114,352.9171828314958,5.388099944641736,40.710088470626445
17,2039.0,98.85780817803713,1189.3222411799893,367.3605515317487,5.085226895408889,38.42171432086716
18,2040.0,68.16538734802393,688.3904113912664,233.8828272161831,2.943660540337082,22.24099074921351
19,2041.0,74.61454209413353,997.1199215675584,371.48588450997954,4.263986694956406,32.21678836189284
