,Report_Hour,Baseline Emissions Rate Estimate
0,1,0.9783943570892483
1,2,0.9934758424364198
2,3,0.9960353843164444
3,4,1.0069007577714364
4,5,1.0033519506928053
5,6,0.983603203137747
6,7,0.8232835919207672
7,8,0.6904247168652528
8,9,0.5266742642161963
9,10,0.5015202426917121
10,11,0.5089661702378152
11,12,0.5307101902041998
12,13,0.5342021097472919
13,14,0.5376134141648036
14,15,0.5428055970331721
15,16,0.5508127857376115
16,17,0.5702520057227588
17,18,0.5684353618256515
18,19,0.596697318330535
19,20,0.7206143442892387
20,21,0.8326070746415805
21,22,0.8487780603649049
22,23,0.8232287779349182
23,24,0.8839987340969773
