,new_hourID,Baseline Emissions Rate Estimate
0,-12,0.5158119527283168
1,-11,0.5313140574842237
2,-10,0.5388958771491421
3,-9,0.5473897136559044
4,-8,0.5383148580042644
5,-7,0.5572010965906358
6,-6,0.5658029923419826
7,-5,0.5837530665653697
8,-4,0.6259171175686332
9,-3,0.7446422771379144
10,-2,0.8064144535892227
11,-1,0.7683199547798325
12,0,0.8258344295233914
13,1,0.9395736557961668
14,2,0.9604939348644953
15,3,0.9629725029859221
16,4,0.9838931143237591
17,5,0.9825205457169416
18,6,1.0124329548245012
19,7,0.6407787517238264
20,8,0.7116475132306361
21,9,0.5465071931984733
22,10,0.5197141818819794
23,11,0.5355536673832908
24,12,0.5500590021067243
25,13,0.5695746637538565
26,14,0.5688360316136789
27,15,0.5731416124094603
28,16,0.572629918090968
29,17,0.5810781346692564
30,18,0.5816269775879699
31,19,0.6046590613180879
32,20,0.6394615700978548
33,21,0.7870673835200479
34,22,0.8170515664300663
35,23,0.797060310247508
36,24,0.8417347833394869
37,25,0.950429133494887
38,26,0.9711997097180121
39,27,0.987945316223612
40,28,0.9904231693355935
41,29,1.0020883513339056
42,30,1.0040780924194797
43,31,0.6349819671122262
44,32,0.7166007182830642
45,33,0.5511358662598665
46,34,0.5257961356709989
47,35,0.5406923125791036
48,36,0.5633052380099484
