,Report_Hour,Baseline Emissions Rate Estimate
0,1,1.1859727461794287
1,2,1.2305209792203624
2,3,1.2406688871559344
3,4,1.268083685227002
4,5,1.2734914677528737
5,6,1.176509668586737
6,7,1.1682628356037297
7,8,1.250973260009761
8,9,1.0435107027079078
9,10,1.0076958803060276
10,11,0.9288119582544812
11,12,0.8494368789847196
12,13,0.8431839568258916
13,14,0.8045211757075924
14,15,0.84266861372592
15,16,0.9328404343364011
16,17,1.2234084723274858
17,18,1.2135397793523008
18,19,1.2023987186901017
19,20,1.1594493800458552
20,21,1.1351531688961516
21,22,1.051304135388239
22,23,1.0426522471909963
23,24,1.1924612068031497
