,new_hourID,Baseline Emissions Rate Estimate
0,-12,0.635755288108868
1,-11,0.6610385793132089
2,-10,0.6715384518874806
3,-9,0.6776456290620315
4,-8,0.6539300980460178
5,-7,0.637725468644035
6,-6,0.630292418975111
7,-5,0.6208751095506623
8,-4,0.6535767496123747
9,-3,0.7187358096948308
10,-2,0.9345787797754015
11,-1,0.9176666828143426
12,0,1.0238723303143011
13,1,1.3008054332781196
14,2,1.3370170646023576
15,3,1.3213778436555816
16,4,1.343276646047215
17,5,1.3567484249378146
18,6,1.4176607703097952
19,7,0.6492244047082898
20,8,0.6468090860761291
21,9,0.621395210332772
22,10,0.6089740986413428
23,11,0.647072224600227
24,12,0.6885228208737141
25,13,0.7184611221434946
26,14,0.7110996740634186
27,15,0.7091589483397769
28,16,0.6979237921545278
29,17,0.6740526405088287
30,18,0.6703803981156632
31,19,0.6763605787536819
32,20,0.7090863075005284
33,21,0.7830667559568636
34,22,0.9467424033154939
35,23,0.9535655813461885
36,24,1.043303717531865
37,25,1.305525001494709
38,26,1.3286779242182403
39,27,1.363855987655997
40,28,1.3454706392506188
41,29,1.3802953928320774
42,30,1.3884742176202942
43,31,0.6169939795272656
44,32,0.6580417174112954
45,33,0.6253603410542817
46,34,0.6325569975603824
47,35,0.6617580517326632
48,36,0.7072264194525206
