,Report_Hour,Baseline Emissions Rate Estimate
0,1,1.3982794403704977
1,2,1.3989704886259897
2,3,1.3674965049803613
3,4,1.381439880947034
4,5,1.4198299135717078
5,6,1.4013926688333562
6,7,0.7986219423977979
7,8,0.694382436880667
8,9,0.6384646423307865
9,10,0.6255521059876661
10,11,0.651727654231394
11,12,0.6980296046011061
12,13,0.7110921344409324
13,14,0.715686749108534
14,15,0.7184975094439007
15,16,0.7173067630228555
16,17,0.7012188989260355
17,18,0.6885320346385554
18,19,0.7112289888261649
19,20,0.7398268729559803
20,21,0.8710375254218543
21,22,0.9915812119138356
22,23,0.9822036379680061
23,24,1.1134076366966925
