,new_hourID,Baseline Emissions Rate Estimate
0,-12,0.39586861734776635
1,-11,0.40158953565523786
2,-10,0.40625330241080326
3,-9,0.4171337982497771
4,-8,0.4226996179625109
5,-7,0.4766767245372364
6,-6,0.5013135657088534
7,-5,0.5466310235800779
8,-4,0.5982574855248931
9,-3,0.770548744580998
10,-2,0.6782501274030461
11,-1,0.6189732267453227
12,0,0.6277965287324828
13,1,0.5783418783142135
14,2,0.5839708051266331
15,3,0.6045671623162631
16,4,0.6245095826003031
17,5,0.6082926664960693
18,6,0.6072051393392064
19,7,0.6323330987393626
20,8,0.7764859403851422
21,9,0.4716191760641748
22,10,0.430454265122615
23,11,0.424035110166355
24,12,0.41159518333973494
25,13,0.4206882053642182
26,14,0.42657238916393886
27,15,0.437124276479144
28,16,0.44733604402740845
29,17,0.48810362882968406
30,18,0.4928735570602764
31,19,0.5329575438824946
32,20,0.5698368326951815
33,21,0.7910680110832321
34,22,0.6873607295446392
35,23,0.6405550391488274
36,24,0.6401658491471106
37,25,0.5953332654950647
38,26,0.6137214952177845
39,27,0.6120346447912263
40,28,0.6353756994205678
41,29,0.6238813098357346
42,30,0.6196819672186652
43,31,0.6529699546971875
44,32,0.775159719154833
45,33,0.4769113914654518
46,34,0.41903527378161476
47,35,0.41962657342554427
48,36,0.4193840565673761
