,Report_Hour,Baseline Emissions Rate Estimate
0,1,1.178144116803899
1,2,1.2027443795428612
2,3,1.215336820793709
3,4,1.2418637836611939
4,5,1.2800979219229052
5,6,1.2305138485683065
6,7,1.2258564004460484
7,8,1.1599258507614165
8,9,1.0443585937746873
9,10,0.9568252584379422
10,11,0.8974759680231179
11,12,0.8473795818157795
12,13,0.8272700540658242
13,14,0.8149111437676727
14,15,0.8336483613385767
15,16,0.8860647448151084
16,17,1.0556871455272656
17,18,1.1410503807529468
18,19,1.1825906024090547
19,20,1.170717725956737
20,21,1.1547411357588007
21,22,1.0352555471711686
22,23,1.035753044135463
23,24,1.1595021728223918
