Report_Hour,Baseline Emissions Rate Estimate
1,1.30080543327812
2,1.3370170646023574
3,1.3213778436555808
4,1.3432766460472152
5,1.3567484249378143
6,1.4176607703097943
7,0.6492244047082896
8,0.6468090860761291
9,0.6213952103327722
10,0.6089740986413426
11,0.6470722246002272
12,0.6885228208737137
13,0.7184611221434944
14,0.7110996740634182
15,0.7091589483397768
16,0.6979237921545278
17,0.6740526405088291
18,0.6703803981156636
19,0.6763605787536818
20,0.7090863075005283
21,0.7830667559568637
22,0.946742403315494
23,0.9535655813461886
24,1.0433037175318647
