Report_Hour,Baseline Emissions Rate Estimate
1,0.6277906987531894
2,0.6460453854755047
3,0.6647754711345008
4,0.6861316208892922
5,0.6790731282995351
6,0.6909129514076201
7,0.7394123417128177
8,0.6321813294119327
9,0.42771979689663087
10,0.39496992150010785
11,0.3932424882503032
12,0.3937499564400865
13,0.3845061495586597
14,0.38567722252217435
15,0.3878330948496417
16,0.39466753549707784
17,0.42004927660643565
18,0.4280228108142356
19,0.47374780114777004
20,0.5289217982720397
21,0.6810253978238735
22,0.7006555583319986
23,0.6591265238283037
24,0.6641926606832805
